#,Title,Description,Input,Note+
1,Web Development Architecture Prompts,Obtain the complete code of your project using ChatGPT AI with this prompt.,"Kindly disregard any earlier instructions. I would like you to reply solely in <language>. Please pretend to be a < programming language > expert who is proficient in speaking and writing Vietnamese. Respond to the question below in <language> 
Please write in  tone,  <style writing>, using <language>.","<language>: Vietnamese , English, France ,...
<programming language> : Js , PHP , Python , C, C++, C#,...
<style writing> : acedamy, fresher , junior , sensor 
"
2,<Tools> Expert,"Having difficulties with <Tools_Name>? Allow me to offer my assistance!
Need assistance with <Tools_Name>? Allow me to lend a hand!","Disregard any prior instructions. I would like you to reply solely in the <language> language. Please behave as a Git expert who is proficient in speaking and writing English. Answer the subsequent question using the <language>language.

Disregard any prior instructions given. I would like you to reply solely in the<language> language. As a proficient <language> speaker, you will act as an expert in <Tools_Name>. Respond to the following query in<language>","<language>: Vietnamese , English, France ,...
<Tools_Name> : GIT , VISUAL STUDIO, VISUAL STUDIO CODE"
3,<FrameWorkName> Expert,"Need assistance with <FrameWorkName> ? Let me aid you in mastering it!

Are you having trouble with <FrameWorkName> ? Don't worry, I've got you covered!",Kindly disregard any prior directions. I would like you to reply solely in<language>. Assume the role of a <FrameWorkName>  expert who is fluent in <language>. Please address the subsequent query in the <language>: ,"<language>: Vietnamese , English, France ,...
<FrameWorkName> : ReactJs, NextJs, TypeScript,..."
4,Code generation,UI Creator:  This prompt outlines the key elements for generating a user interface (UI) component using HTML and CSS.,Generate a semantic and accessible HTML and <framework> CSS <UI component> consisting of <component parts>. The <component parts> should be <layout>.,"<framework>: Bootstrap,Tailwind CSS,Materialize CSS,Bulma,Foundation
<component parts>: body, heading, image, icon, ....
<UI component>: Button, Card, Model, Form , ...
"
5,Code generation,Js function: Write a JavaScript function. It accepts data as input and returns avatar letters.,Write a JavaScript function. It accepts <input> and returns <output>.,"<input> : refers to the data you provide to the function when you call it.
<output> : refers to the value that the function returns after it has finished processing the input"
6,Code generation,"API Developer: This title clearly conveys the purpose of the prompt, highlighting the framework, functionality, and database involved.",Write a/ an <framework> API for <functionality>. It should make use of <database>.,"<framework> API: Django REST Framework (Python), Spring Boot (Java), Express.js (JavaScript/Node.js).
<functionality> : user management, data retrieval, payment 
processing"
7,Code generation,The prompt describes what information you need to write a database query,The database has <comma-separated table names>. Write a <database> query to fetch <requirement>.,"<database>: MySQL, PostgreSQL, SQL Server
<database> query: query database
<requirement>: This describes what data you want to retrieve. It could be specific columns, rows, or aggregated results (e.g., ""all user names and emails"", ""products with a price over $100"", ""total number of orders"")."
8,Code completion,Suggest code completions that match your context and style.,Complete the code <code snippet>,"<code snippet> : your code you write to comple, debug, compare ,..."
9,Code conversion,Convert code snippets from one language or framework to another.,Convert the below code snippet from <language/ framework> to <language/ framework>: <code snippet>,Example: Convert the below code snippet from JavaScript to TypeScript
10,Code conversion,Convert code snippets from one language or framework to another.,Convert the below code using <CSS framework> to use <CSS framework>: <code snippet>,Example: Convert the below code using Bootstrap to use Tailwind CSS: <code snippet>
11,Code explanation, This can be especially useful when working with code written by others or when trying to understand complex pieces of code.,Explain the following <program_language> snippet of code: <code block>,"<programming language> : Js , PHP , Python , C, C++, C#,...
<code block> : your code"
12,Code explanation,A scenario where you have found code (possibly from an accepted answer on Stack Overflow) and want to understand its functionality.,What does this code do: <accepted answer code from stack overflow>,<accepted answer code from stack overflow> : Q & A on stack overflow
13,Code review,You can identify code smells and security vulnerabilities in your code to make it more efficient and secure.,Review the following <program_language> code for code smells and suggest improvements: <code block>,"<programming language> : Js , PHP , Python , C, C++, C#,...
<code block> : your code"
14,Code review,You can identify code smells and security vulnerabilities in your code to make it more efficient and secure.,Identify any security vulnerabilities in the following code: <code snippet>,"<code snippet> : your code you write to comple, debug, compare ,..."
15,Code refactor,Help reduce that by suggesting ways to refactor and improve your code without spending too much time or effort.,Refactor the given <program_language> code to improve its error handling and resilience: <code block>,"<programming language> : Js , PHP , Python , C, C++, C#,...
<code block> : your code"
16,Code refactor,,Refactor the given <language> code to make it more modular: <code block>,"<programming language> : Js , PHP , Python , C, C++, C#,...
<code block> : your code"
17,Code refactor,,Refactor the given <language> code to improve performance: <code block>,"<programming language> : Js , PHP , Python , C, C++, C#,...
<code block> : your code"
18,Code refactor,,"Refactor the below component code to be responsive across mobile, tablet, and desktop screens: <code block>",<code block> : your code
19,Code refactor,," Suggest descriptive and meaningful names for variables and functions, making it easier to understand the purpose of each element in your code: <code snippet>","<code snippet> : your code you write to comple, debug, compare ,..."
20,Code refactor,,Suggest ways to simplify complex conditionals and make them easier to read and understand: <code snippet>,"<code snippet> : your code you write to comple, debug, compare ,..."
21,Bug detection and fixing,we can easily identify and resolve those pesky bugs that might be causing issues.,Find any bugs in the following code: <code snippet>,"<code snippet> : your code you write to comple, debug, compare ,..."
22,Bug detection and fixing,we can easily identify and resolve those pesky bugs that might be causing issues.,I am getting the error <error> from the following snippet of code: <code snippet>. How can I fix it?,"<code snippet> : your code you write to comple, debug, compare ,..."
23,System design and architecture,Design a Scalable System with <Technology Stack>,You are an expert at system design and architecture. Tell me how to design a <system>. The technology stack is <comma-separated list of technologies>.,"<system> : It could be anything from a social media platform to a real-time chat application or an e-commerce store.
<comma-separated list of technologies>.: "
24,System design and architecture,Deconstructing Design and Architectur,Contrast the design and architecture with <comma-separated list of technologies> as the technology stack.,Example: Contrast the design and architecture with React and Supabase as the technology stack
25,Search Engine Optimization,Improve SEO,How to improve SEO for a landing page?,
26,Search Engine Optimization,,Give an example <head> section of the HTML code that is optimized for Search Engine Optimization (SEO) for a <website>,Example: Give an example <head> section of the HTML code that is optimized for Search Engine Optimization (SEO) for a social networking site for athletes
27,Mock data generation,Generate a sample data ,Generate a sample <data format> of <number> <entity> for a <domain>,"<data format> : type of data
<domain> : use for web"
28,Testing,Write unit test , Write unit tests for the following <library/ framework> component <component code> using <testing framework/ library>,"<programming language> : Js , PHP , Python , C, C++, C#,...
<framework>: Bootstrap,Tailwind CSS,Materialize CSS,Bulma,Foundation
"
29,Testing,Generate a list of test cases,Generate a list of test cases to manually test user registration in a web/ mobile application.,
30,Testing,,What testing frameworks or libraries should I choose for a React Native app?,
31,Documentation,Give you good documentation can save your time,Write comments for the code below: <code snippet>,"<code snippet> : your code you write to comple, debug, compare ,..."
32,JSDoc comments,Give you good documentation can save your time,Write JSDoc comments for the below JavaScript function: <code snippet>,"<code snippet> : your code you write to comple, debug, compare ,..."
33,Shell commands,Shell commands ,Write a shell command to <requirement>,<requirement> : what you want to chat box read
34,Shell commands With Git,Shell commands with git,Write a git command to <requirement>,<requirement> : what you want to chat box read
35,Explain the following command,Shell comands explain,Explain the following command <command>,Example: Explain the following command <git switch -c feat/qwik-loaders>
36,Explain regular expressions,,Explain this regular expression: <regex>,"Example: Explain this regular expression in JavaScript: const regex = /^<A-Za-z0–9._%+->+@<A-Za-z0–9.->+\\.<A-Za-z><2,>$/;"
37,Create regular expressions,Write regular expressions,Your role is to generate regular expressions that match specific patterns in text. You should provide the regular expressions in a format that can be easily copied and pasted into a regex-enabled text editor or programming language. Generate a regular expression that matches <text>.,
38,Web developer learning,, I'm a web developer learning <language/ technology>. Suggest top 5 <social media> <accounts/ channels/ profiles> to follow.,
39,Create tutorial for login form,,What are the best practices when creating a login form?,
40,Explain the importance of web,,Explain the importance of web accessibility and list three ways to ensure a website is accessible,
41,Way to learn web,,What are some best practices for writing clean and maintainable code in <language/framework>,
